x,y,z,t
4.000000000000000222e-01,-2.500000000000000000e-01,4.213120000000000198e-01,3.464101615137754608e-01
4.000000000000000222e-01,-2.500000000000000000e-01,3.823840000000000017e-01,6.928203230275509217e-01
4.000000000000000222e-01,-2.500000000000000000e-01,3.276159999999999628e-01,1.039230484541326494e+00
4.000000000000000222e-01,-2.500000000000000000e-01,2.886879999999999447e-01,1.385640646055101843e+00
